"Feature Name|""ID""|""Class""|""County""|""State""|""Latitude""|""Longitude""|""Ele(ft)""|""Map""|""BGN Date""|""Entry Date""|"
"Abarr|""204724""|""Populated Place""|""Yuma""|""CO""|""395102N""|""1024226W""|""4242""|""Abarr""|""""|""13-OCT-1978"""
"Abbeyville|""189092""|""Populated Place""|""Gunnison""|""CO""|""384639N""|""1062932W""|""9931""|""Tincup""|""""|""31-AUG-1992"""
"Abeyta|""194941""|""Populated Place""|""Las Animas""|""CO""|""370447N""|""1041111W""|""5725""|""Abeyta""|""""|""13-OCT-1978"""
"Able|""195556""|""Populated Place""|""Bent""|""CO""|""380338N""|""1025211W""|""3783""|""Prowers""|""""|""13-OCT-1978"""
"Acres Green|""1852835""|""Populated Place""|""Douglas""|""CO""|""393324N""|""1045346W""|""5833""|""Highlands Ranch""|""""|""21-JAN-2000"""
"Acres Green Census Designated Place|""2407696""|""Census""|""Douglas""|""CO""|""393321N""|""1045345W""|""5850""|""Highlands Ranch""|""""|""11-MAR-2008"""
"Adams City|""196393""|""Populated Place""|""Adams""|""CO""|""394936N""|""1045544W""|""5134""|""Commerce City""|""""|""31-AUG-1992"""
"Adelaide|""191344""|""Populated Place""|""Fremont""|""CO""|""383336N""|""1050527W""|""6949""|""Phantom Canyon""|""""|""13-OCT-1978"""
"Adelaide (historical)|""180161""|""Populated Place""|""Lake""|""CO""|""391450N""|""1061529W""|""10833""|""Leadville South""|""""|""13-OCT-1978"""
"Adena|""182997""|""Populated Place""|""Morgan""|""CO""|""400030N""|""1035312W""|""4692""|""Adena""|""""|""13-OCT-1978"""
"Adna|""180719""|""Populated Place""|""Weld""|""CO""|""402022N""|""1044942W""|""4721""|""Milliken""|""""|""13-OCT-1978"""
"Aetna Estates Census Designated Place|""2583206""|""Census""|""Arapahoe""|""CO""|""394417N""|""1044024W""|""5613""|""Coal Creek""|""""|""31-MAR-2010"""
"Agate|""204818""|""Populated Place""|""Elbert""|""CO""|""392742N""|""1035632W""|""5446""|""Agate""|""""|""13-OCT-1978"""
"Aguilar|""194464""|""Populated Place""|""Las Animas""|""CO""|""372410N""|""1043912W""|""6388""|""Aguilar""|""""|""13-OCT-1978"""
"Air Force Academy Census Designated Place|""2407701""|""Census""|""El Paso""|""CO""|""385939N""|""1045150W""|""6788""|""Pikeview""|""""|""11-MAR-2008"""
"Akin|""202230""|""Populated Place""|""Mesa""|""CO""|""391517N""|""1081547W""|""4865""|""Wagon Track Ridge""|""""|""13-OCT-1978"""
"Akron|""182984""|""Populated Place""|""Washington""|""CO""|""400938N""|""1031252W""|""4659""|""Akron""|""""|""13-OCT-1978"""
"Alamo|""194234""|""Populated Place""|""Huerfano""|""CO""|""373920N""|""1045731W""|""6831""|""Black Hills""|""""|""13-OCT-1978"""
"Alamo Placita|""184889""|""Populated Place""|""Denver""|""CO""|""394315N""|""1045833W""|""5269""|""Englewood""|""""|""13-OCT-1978"""
"Alamosa|""203624""|""Populated Place""|""Alamosa""|""CO""|""372810N""|""1055212W""|""7543""|""Alamosa East""|""""|""13-OCT-1978"""
"Alamosa East Census Designated Place|""2407709""|""Census""|""Alamosa""|""CO""|""372836N""|""1055023W""|""7536""|""Alamosa East""|""""|""11-MAR-2008"""
"Alden|""180661""|""Populated Place""|""Weld""|""CO""|""402727N""|""1043455W""|""4688""|""Kersey""|""""|""13-OCT-1978"""
"Alder|""189960""|""Populated Place""|""Saguache""|""CO""|""382210N""|""1060222W""|""8543""|""Whale Hill""|""""|""13-OCT-1978"""
"Algonquin Acres|""2110914""|""Populated Place""|""Arapahoe""|""CO""|""393554N""|""1044935W""|""5663""|""Parker""|""""|""22-MAR-2007"""
"Alice|""181369""|""Populated Place""|""Clear Creek""|""CO""|""394906N""|""1053834W""|""10092""|""Empire""|""""|""13-OCT-1978"""
"Alkire Estates|""2354935""|""Populated Place""|""Jefferson""|""CO""|""395035N""|""1050842W""|""5597""|""Golden""|""""|""16-OCT-2007"""
"Allenspark Census Designated Place|""2407720""|""Census""|""Boulder""|""CO""|""401119N""|""1053107W""|""8428""|""Allenspark""|""""|""11-MAR-2008"""
"Allison|""204734""|""Populated Place""|""La Plata""|""CO""|""370128N""|""1072917W""|""6217""|""Allison""|""""|""13-OCT-1978"""
"Alma|""180003""|""Populated Place""|""Park""|""CO""|""391702N""|""1060346W""|""10361""|""Alma""|""""|""13-OCT-1978"""
"Alma Junction|""180004""|""Populated Place""|""Park""|""CO""|""391603N""|""1060243W""|""10256""|""Alma""|""""|""13-OCT-1978"""
"Almont|""188934""|""Populated Place""|""Gunnison""|""CO""|""383953N""|""1065046W""|""8022""|""Almont""|""""|""13-OCT-1978"""
"Alpine|""190281""|""Populated Place""|""Rio Grande""|""CO""|""374121N""|""1063520W""|""8287""|""South Fork East""|""""|""13-OCT-1978"""
"Alpine Census Designated Place|""2583207""|""Census""|""Rio Grande""|""CO""|""374116N""|""1063510W""|""8241""|""South Fork East""|""""|""31-MAR-2010"""
"Alta (historical)|""187155""|""Populated Place""|""San Miguel""|""CO""|""375311N""|""1075110W""|""11060""|""Telluride""|""""|""13-OCT-1978"""
"Alta Vista|""193311""|""Populated Place""|""El Paso""|""CO""|""390137N""|""1040645W""|""6414""|""Alta Vista""|""""|""13-OCT-1978"""
"Alta Vista|""2354760""|""Populated Place""|""Jefferson""|""CO""|""394826N""|""1050537W""|""5354""|""Arvada""|""""|""28-SEP-2007"""
"Altman (historical)|""203908""|""Populated Place""|""Teller""|""CO""|""384410N""|""1050802W""|""10630""|""Cripple Creek South""|""""|""13-OCT-1978"""
"Altona|""178293""|""Populated Place""|""Boulder""|""CO""|""400802N""|""1051658W""|""5600""|""Lyons""|""""|""13-OCT-1978"""
"Altona Census Designated Place|""2583208""|""Census""|""Boulder""|""CO""|""400731N""|""1051733W""|""5928""|""Lyons""|""""|""31-MAR-2010"""
"Altura|""184990""|""Populated Place""|""Arapahoe""|""CO""|""394425N""|""1044816W""|""5430""|""Fitzsimons""|""""|""13-OCT-1978"""
"Altura|""184567""|""Populated Place""|""Archuleta""|""CO""|""371100N""|""1071128W""|""7159""|""Lonetree Canyon""|""""|""13-OCT-1978"""
"Alvin|""182950""|""Populated Place""|""Yuma""|""CO""|""401828N""|""1020433W""|""3599""|""Alvin""|""""|""13-OCT-1978"""
"American City (historical)|""181519""|""Populated Place""|""Gilpin""|""CO""|""395221N""|""1053514W""|""10633""|""Central City""|""""|""13-OCT-1978"""
"Americus|""189265""|""Populated Place""|""Chaffee""|""CO""|""385409N""|""1060956W""|""8182""|""Harvard Lakes""|""""|""13-OCT-1978"""
"Ames|""187459""|""Populated Place""|""San Miguel""|""CO""|""375153N""|""1075256W""|""8720""|""Mount Wilson""|""""|""13-OCT-1978"""
"Amherst|""182776""|""Populated Place""|""Phillips""|""CO""|""404058N""|""1020958W""|""3691""|""Amherst""|""""|""13-OCT-1978"""
"Amherst Census Designated Place|""2583209""|""Census""|""Phillips""|""CO""|""404059N""|""1021021W""|""3697""|""Amherst""|""""|""31-MAR-2010"""
