LGID,SOURCE,LGNAME,LGTYPEID,LGSTATUSID,ABBREV_NAM,MAIL_ADDRE,ALT_ADDRES,MAIL_CITY,MAIL_STATE,MAIL_ZIP,URL,PREV_NAME
01045,Hybrid Adams 3-27-15 Adams 6-25-15,Central Adams County Water & Sanitation District,12,1,Central Adams County Water & San. Dist.,"1641 California Street, Suite 300",c/o Miller & Associates,Denver,CO,80202,,
01021,Retrieved from Adams Public OIT GIS Share 3-27-15,South Adams County Water & Sanitation District,12,1,South Adams County Water & San. District,6595 E 70th Ave,PO BOX 597,Commerce City,CO,80037,sacwsd.org,
01024,Retrieved from Adams Public OIT GIS Share 3-27-15,Southwest Adams County Fire Protection District,8,3,Southwest Adams County F.P.D.,3365 West 65th Avenue,,Denver,CO,80221,www.swacfire.com,
01023,Retrieved from Adams Public OIT GIS Share 3-27-15,South Adams County Fire Protection District,8,1,South Adams County F.P.D.,6550 East 72nd Avenue,,Commerce City,CO,80022,,
64121,Hybrid Arapahoe 3-27-15 Adams 6-25-15,Sable-Altura Fire Protection District,8,1,Sable-Altura Fire Protection District,"26900 East Colfax Avenue, Space 52",,Aurora,CO,80018,,
64052,Hybrid Arapahoe 3-27 Elbert 5-14 Adams 6-25,Deer Trail Rural Fire Protection District,8,1,Deer Trail Rural F.P.D.,PO Box 257,,Deer Trail,CO,80105-0257,,
64018,Hybrid Arapahoe 3-27-15 Adams 6-25-15,Bennett Fire Protection District,8,1,Bennett Fire Protection District,Box 349,,Bennett,CO,80102,,
64134,Hybrid Arapahoe 3-27-15 Adams 6-25-15,Strasburg Fire Protection District No. 8,8,1,Strasburg Fire Protection District No. 8,56281 E Colfax Ave,PO Box 911,Strasburg,CO,80136,www.svfd8.org,
65771,Arapahoe Public OIT GIS Share 3-27-15,Avenues Metropolitan District No. 4,6,1,Avenues Metropolitan District No. 4,"2154 E. Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122,,
65772,Arapahoe Public OIT GIS Share 3-27-15,Avenues Metropolitan District No. 5,6,1,Avenues Metropolitan District No. 5,"2154 E. Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122,,
03155,Arapahoe Public OIT GIS Share 3-27-15,Tallyn's Reach Metropolitan District No. 2,6,1,Tallyn's Reach Metro. District No. 2,"2154 E. Commons Ave., Suite 2000",c/o White Bear Ankele Tanaka & Waldron P.C.,Centennial,CO,80122,,Promontory Metropolitan District No. 2
