"WaterProviderName","FIPS_ID","FIPS_ID_Flag","GNIS_ID","GNIS_ID_Flag","DOLA_LG_ID","DOLA_LG_ID_Flag","BNDSS_ID","BNDSS_ID_Flag","PWS_ID","PWS_ID_Flag","BusinessEntity_ID","BusinessEntity_ID_Flag","OWF_ID","OWF_ID_Flag","LocalGovtType","EntityStartYear","EntityStartYear_Flag","EntityEndYear","EntityEndYear_Flag","County_CSV","NumCounty","IBCC_Basin","Latitude","Longitude","Lat_Long_Flag","Website","Website_Flag","WaterEfficiencyPlan_URL","WaterForecast_URL","Comment"
96 Pipeline Company,,N,,N,,N,96PipeWC,G,CO0113050,G,19871168504,G,96PipeWC,G,Company,,x,,x,Crowley,1,,38.218061,-103.756061,g1,,x,,,Not in the Covered Entities database
Academy Water and Sanitation District,,N,,N,21001,G,AcademyWSD,G,CO0121025,G,,N,AcademyWSD,G,Water and Sanitation District,,x,,x,El Paso,1,,39.052835,-104.801110,G,,x,,,
"Aguilar, Town of",00760,G,2412339,G,36001,G,Aguilar,G,CO0136100,G,,N,Aguilar,G,Municipality,,x,,x,Las Animas,1,,37.403626,-104.655036,G,http://www.aguilarco.us/,G,,,
"Akron, Town of",00925,G,2412340,G,61002,G,Akron,G,CO0161001,G,,N,Akron,G,Municipality,,x,,x,Washington,1,South Platte,40.163374,-103.220269,G,www.townofakron.com,G,None,,
Alameda Water and Sanitation District,,N,,N,30001,G,AlamedaWSD,G,CO0130116,G,,N,AlamedaWSD,G,Water and Sanitation District,,x,,x,Jefferson,1,Metro,39.699071,-105.068354,G,,M,None,,Not in the Covered Entities database
"Alamosa, City of",01090,G,2409673,G,02003,G,Alamosa,G,CO0102100,G,,N,Alamosa,G,Municipality,,x,,x,Alamosa,1,,37.475577,-105.876945,G,http://www.cityofalamosa.org/,G,,,
Aldasoro Ranch and Homeowners Company,,N,,N,,N,AldasoroWS,G,CO0157011,G,,N,AldasoroWS,G,Company,,x,,x,San Miguel,1,,37.946921,-107.881811,g1,,x,,,
"Alma, Town of",01530,G,2412350,G,47001,G,Alma,G,CO0147001,G,,N,Alma,G,Municipality,,x,,x,Park,1,South Platte,39.285945,-106.067034,G,http://www.townofalma.com/,G,None,,
Alpha-Rockridge Metropolitan District,,N,,N,04015,G,AlphaRockMD,G,,M,,N,AlphaRockMD,G,Metropolitan District,,x,,x,Archuleta,1,,37.259686,-107.064320,g1,,x,,,
"Antonito, Town of",02355,G,2412370,G,11001,G,Antonito,G,CO0111100,G,,N,Antonito,G,Municipality,,x,,x,Conejos,1,,37.077232,-106.010321,G,http://www.townofantonito.com/,G,,,
Arapahoe County Water and Wastewater Authority,,N,,N,64247,G,ACWWA,G,CO0203002,G,,N,ACWWA,G,Water Authority,,x,,x,"Arapahoe, Douglas",2,Metro,39.601742,-104.838233,g1,https://acwwa.com/,G,https://acwwa.com/DocumentCenter/View/231,,
Arapahoe Estates Water District,,N,,N,03005,G,ArapahoeEstatesWD,G,CO0103001,G,,N,ArapahoeEstatesWD,G,Water District,,x,,x,Arapahoe,1,Metro,39.597582,-104.945845,G,,M,None,,
"Arriba, Town of",03235,G,2411647,G,37002,G,Arriba,G,CO0137001,G,,N,Arriba,G,Municipality,,x,,x,Lincoln,1,South Platte,39.284338,-103.274051,G,https://www.colorado.gov/arriba,G,None,,
"Arvada, City of",03455,G,2409737,G,64009,G,Arvada,G,CO0130001,G,,N,Arvada,G,Municipality,,x,,x,"Adams, Jefferson",2,Metro,39.832067,-105.151037,G,http://arvada.org/,G,http://static.arvada.org/docs/1291916807Water_Conservation_Plan.pdf,,
Aspen Park Metropolitan District,,N,,N,65099,G,AspenParkWD,G,,M,,N,AspenParkWD,G,Metropolitan District,,x,,x,Jefferson,1,Metro,39.544132,-105.288684,G,www.aspenparkmetropolitandistrict.org,G,None,,
"Aspen, City of",03620,G,2409743,G,49006,G,Aspen,G,CO0149122,G,,N,Aspen,G,Municipality,,x,,x,Pitkin,1,,39.195108,-106.836707,G,http://www.aspenpitkin.com/,G,,,
"Ault, Town of",03950,G,2411653,G,62003,G,,M,CO0162125,G,,N,Ault,C,Municipality,,x,,x,Weld,1,South Platte,40.589343,-104.740423,G,http://www.townofault.org/,G,None,,Not in the original BNDSS list
"Aurora, City of",04000,G,2409757,G,64010,G,Aurora,G,CO0103005,G,,N,Aurora,G,Municipality,,x,,x,"Adams, Arapahoe, Douglas",3,Metro,39.708370,-104.727501,G,https://www.auroragov.org/,G,https://www.auroragov.org/UserFiles/Servers/Server_1881137/File/Residents/Water/Water%20System/Aurora%20Water%20Facts/Final_2015_ConservationPlan_update_3.18.16.pdf,https://www.auroragov.org/residents/water/water_system/aurora_water_facts,
"Avon, City of",04110,G,2411658,G,19003,G,Avon,G,CO0119126,G,,N,Avon,G,Municipality,,x,,x,Eagle,1,,39.644744,-106.513576,G,http://www.avon.org/,G,,,
Avondale Water and Sanitation District,,N,,N,51001,G,AvondaleWSD,G,CO0151050,G,,N,AvondaleWSD,G,Water and Sanitation District,,x,,x,Pueblo,1,,38.217767,-104.331925,G,,x,,,
Baca Grande Water and Sanitation District,,N,,N,55001,G,,M,CO0155200,G,,N,BacaGrandeWSD,C,Water and Sanitation District,,x,,x,Saguache,1,,37.944532,-105.666562,G,,x,,,Not in the original BNDSS list
Bailey Water and Sanitation District,,N,,N,47002,G,BaileyWSD,G,CO0147010,G,,N,BaileyWSD,G,Water and Sanitation District,,x,,x,Park,1,South Platte,39.406667,-105.480359,G,http://baileywater-org.webs.com/,G,None,,Not in the Covered Entities database
Bancroft-Clover Water and Sanitation District,,N,,N,30004,G,BancroftCloverWSD,G,CO0130133,G,,N,BancroftCloverWSD,G,Water and Sanitation District,,x,,x,Jefferson,1,Metro,39.690418,-105.090753,G,www.bancroft-clover.com,G,None,,
"Basalt, Town of",04935,G,2411665,G,64017,G,Basalt,G,CO0119134,G,,N,Basalt,G,Municipality,,x,,x,"Eagle, Pitkin",2,,39.366535,-107.041715,G,http://www.basalt.net/,G,,,
Battlement Mesa Metropolitan District,,N,,N,23032,G,BattlementMesaMD,G,CO0123133,G,,N,BattlementMesaMD,G,Metropolitan District,,x,,x,Garfield,1,,39.444372,-108.027162,G,,x,,,Former name was Consolidated Metropolitan District
"Bayfield, Town of",05265,G,2411667,G,34005,G,Bayfield,G,CO0134030,G,,N,Bayfield,G,Municipality,,x,,x,La Plata,1,,37.234261,-107.595124,G,http://www.bayfieldgov.org/,G,,,
Bear Creek Water and Sanitation District,,N,,N,30005,G,BearCreekWSD,G,CO0130138,G,,N,BearCreekWSD,G,Water and Sanitation District,,x,,x,Jefferson,1,Metro,39.663768,-105.105753,G,http://www.bearcreekwater.org/,G,None,,
Beehive Water Association,,N,,N,,N,BeehiveWAS,G,CO0145030,G,19871130969,G,BeehiveWAS,G,Company,,x,,x,Otero,1,,38.106788,-103.510798,g1,,x,,,Not in the Covered Entities database
Bell Mountain Ranch Water District,,N,,N,18064,G,BellMtnRanchWD,G,CO0118002,G,,N,BellMtnRanchWD,G,Metropolitan District,,x,,x,Douglas,1,Metro,39.303425,-104.864285,G,http://www.bmrmetro.org/bmrmd/index.htm,G,,,Former name was Bell Mountain Ranch Master Metropolitan District
"Bennett, Town of",06090,G,2411676,G,64258,G,Bennett,G,CO0101020,G,,N,Bennett,G,Municipality,,x,,x,"Adams, Arapahoe",2,South Platte,39.736358,-104.428527,G,https://www.colorado.gov/townofbennett,G,,,
Bents Fort Water Association,,N,,N,,N,BentsFortWA,G,CO0145060,G,19871150010,G,BentsFortWA,G,Company,,x,,x,Otero,1,,37.984671,-103.542687,g1,,x,,,Not in the Covered Entities database
Berkeley Water and Sanitation District,,N,,N,64020,G,BerkeleyWSD,G,CO0116140,G,,N,BerkeleyWSD,G,Water and Sanitation District,,x,,x,"Adams, Jefferson",2,Metro,39.798418,-105.030672,G,www.berkeleywatersanitation.com,G,,,Not in the Covered Entities database
"Berthoud, Town of",06255,G,2411681,G,64237,G,Berthoud,G,CO0135138,G,,N,Berthoud,G,Municipality,,x,,x,"Larimer, Weld",2,South Platte,40.307017,-105.041523,G,http://www.berthoud.org/,G,,,
"Bethune, Town of",06530,G,2411684,G,32001,G,Bethune,G,CO0132001,G,,N,Bethune,G,Municipality,,x,,x,Kit Carson,1,South Platte,39.303822,-102.423414,G,,M,,,
Beulah Water Works District,,N,,N,51002,G,BeulahWD,G,CO0151100,G,,N,BeulahWD,G,Water District,,x,,x,Pueblo,1,,38.074280,-104.988742,G,,x,,,
Beverly Hills Mutual Water Company,,N,,N,,N,,M,CO0118001,G,19871136472,G,BeverlyHlsMWC,C,Company,,x,,x,Douglas,1,Metro,39.575278,-105.003755,g1,,M,,,Not in the original BNDSS list
