Water_Provider_Name,County,,,,,,,,,,,,,,,,,
Arapahoe County Water and Wastewater Authority,Arapahoe,,,,,,,,,,,,,,,,,
Arapahoe County Water and Wastewater Authority,Douglas,,,,,,,,,,,,,,,,,
"Arvada, City of",Adams,,,,,,,,,,,,,,,,,
"Arvada, City of",Jefferson,,,,,,,,,,,,,,,,,
"Basalt, Town of",Eagle,,,,,,,,,,,,,,,,,
"Basalt, Town of",Pitkin,,,,,,,,,,,,,,,,,
"Bennett, Town of",Adams,,,,,,,,,,,,,,,,,
"Bennett, Town of",Arapahoe,,,,,,,,,,,,,,,,,
Berkeley Water and Sanitation District,Adams,,,,,,,,,,,,,,,,,
Berkeley Water and Sanitation District,Jefferson,,,,,,,,,,,,,,,,,
"Berthoud, Town of",Larimer,,,,,,,,,,,,,,,,,
"Berthoud, Town of",Weld,,,,,,,,,,,,,,,,,
Bow Mar Water and Sanitation District,Arapahoe,,,,,,,,,,,,,,,,,
Bow Mar Water and Sanitation District,Jefferson,,,,,,,,,,,,,,,,,
"Brighton, City of",Adams,,,,,,,,,,,,,,,,,
"Brighton, City of",Weld,,,,,,,,,,,,,,,,,
"Center, Town of",Rio Grande,,,,,,,,,,,,,,,,,
"Center, Town of",Saguache,,,,,,,,,,,,,,,,,
"Central City, City of",Clear Creek,,,,,,,,,,,,,,,,,
"Central City, City of",Gilpin,,,,,,,,,,,,,,,,,
Dolores Water Conservancy District,Dolores,,,,,,,,,,,,,,,,,
Dolores Water Conservancy District,Montezuma,,,,,,,,,,,,,,,,,
East Larimer County Water District,Larimer,,,,,,,,,,,,,,,,,
East Larimer County Water District,Weld,,,,,,,,,,,,,,,,,
"Erie, Town of",Boulder,,,,,,,,,,,,,,,,,
"Erie, Town of",Weld,,,,,,,,,,,,,,,,,
Fort Collins-Loveland Water District,Larimer,,,,,,,,,,,,,,,,,
Fort Collins-Loveland Water District,Weld,,,,,,,,,,,,,,,,,
Grant Water and Sanitation District,Denver,,,,,,,,,,,,,,,,,
Grant Water and Sanitation District,Jefferson,,,,,,,,,,,,,,,,,
"Green Mountain Falls, Town of",El Paso,,,,,,,,,,,,,,,,,
"Green Mountain Falls, Town of",Teller,,,,,,,,,,,,,,,,,
Holly Hills Water and Sanitation District,Arapahoe,,,,,,,,,,,,,,,,,
Holly Hills Water and Sanitation District,Denver,,,,,,,,,,,,,,,,,
Inverness Water and Sanitation District,Arapahoe,,,,,,,,,,,,,,,,,
Inverness Water and Sanitation District,Douglas,,,,,,,,,,,,,,,,,
Johnstown Water-Sewer Trash,Larimer,,,,,,,,,,,,,,,,,
Johnstown Water-Sewer Trash,Weld,,,,,,,,,,,,,,,,,
Lakehurst Water and Sanitation District,Denver,,,,,,,,,,,,,,,,,
Lakehurst Water and Sanitation District,Jefferson,,,,,,,,,,,,,,,,,
"Lochbuie, Town of",Adams,,,,,,,,,,,,,,,,,
"Lochbuie, Town of",Weld,,,,,,,,,,,,,,,,,
Lochmoor Water and Sanitation District,Denver,,,,,,,,,,,,,,,,,
Lochmoor Water and Sanitation District,Jefferson,,,,,,,,,,,,,,,,,
"Longmont, City of",Boulder,,,,,,,,,,,,,,,,,
"Longmont, City of",Weld,,,,,,,,,,,,,,,,,
Longs Peak Water District,Boulder,,,,,,,,,,,,,,,,,
Longs Peak Water District,Weld,,,,,,,,,,,,,,,,,
Lookout Mountain Water District,Clear Creek,,,,,,,,,,,,,,,,,
Lookout Mountain Water District,Jefferson,,,,,,,,,,,,,,,,,
Mid Valley Metropolitan District,Eagle,,,,,,,,,,,,,,,,,
Mid Valley Metropolitan District,Garfield,,,,,,,,,,,,,,,,,
Morgan County Quality Water District,Morgan,,,,,,,,,,,,,,,,,
Morgan County Quality Water District,Washington,,,,,,,,,,,,,,,,,
North Pecos Water and Sanitation District,Adams,,,,,,,,,,,,,,,,,
North Pecos Water and Sanitation District,Denver,,,,,,,,,,,,,,,,,
North Washington Street Water and Sanitation District,Adams,,,,,,,,,,,,,,,,,
North Washington Street Water and Sanitation District,Denver,,,,,,,,,,,,,,,,,
North Weld County Water District,Larimer,,,,,,,,,,,,,,,,,
North Weld County Water District,Weld,,,,,,,,,,,,,,,,,
"Northglenn, City of",Adams,,,,,,,,,,,,,,,,,
