"OWF_ID","WaterProviderName","County"
ACWWA,Arapahoe County Water and Wastewater Authority,Arapahoe
ACWWA,Arapahoe County Water and Wastewater Authority,Douglas
Arvada,"Arvada, City of",Adams
Arvada,"Arvada, City of",Jefferson
Aurora,"Aurora, City of",Adams
Aurora,"Aurora, City of",Arapahoe
Aurora,"Aurora, City of",Douglas
Basalt,"Basalt, Town of",Eagle
Basalt,"Basalt, Town of",Pitkin
Bennett,"Bennett, Town of",Adams
Bennett,"Bennett, Town of",Arapahoe
BerkeleyWSD,Berkeley Water and Sanitation District,Adams
BerkeleyWSD,Berkeley Water and Sanitation District,Jefferson
Berthoud,"Berthoud, Town of",Larimer
Berthoud,"Berthoud, Town of",Weld
BowMarWSD,Bow Mar Water and Sanitation District,Arapahoe
BowMarWSD,Bow Mar Water and Sanitation District,Jefferson
Brighton,"Brighton, City of",Adams
Brighton,"Brighton, City of",Weld
Center,"Center, Town of",Rio Grande
Center,"Center, Town of",Saguache
CentralCity,"Central City, City of",Clear Creek
CentralCity,"Central City, City of",Gilpin
RiverDistrict,Colorado River Water Conservation District,Delta
RiverDistrict,Colorado River Water Conservation District,Eagle
RiverDistrict,Colorado River Water Conservation District,Garfield
RiverDistrict,Colorado River Water Conservation District,Grand
RiverDistrict,Colorado River Water Conservation District,Gunnison
RiverDistrict,Colorado River Water Conservation District,Hinsdale
RiverDistrict,Colorado River Water Conservation District,Mesa
RiverDistrict,Colorado River Water Conservation District,Moffat
RiverDistrict,Colorado River Water Conservation District,Montrose
RiverDistrict,Colorado River Water Conservation District,Ouray
RiverDistrict,Colorado River Water Conservation District,Pitkin
RiverDistrict,Colorado River Water Conservation District,Rio Blanco
RiverDistrict,Colorado River Water Conservation District,Routt
RiverDistrict,Colorado River Water Conservation District,Saguache
RiverDistrict,Colorado River Water Conservation District,Summit
DoloresWCD,Dolores Water Conservancy District,Dolores
DoloresWCD,Dolores Water Conservancy District,Montezuma
ELCO,East Larimer County Water District,Larimer
ELCO,East Larimer County Water District,Weld
Erie,"Erie, Town of",Boulder
Erie,"Erie, Town of",Weld
FCLWD,Fort Collins-Loveland Water District,Larimer
FCLWD,Fort Collins-Loveland Water District,Weld
GrantWSD,Grant Water and Sanitation District,Denver
GrantWSD,Grant Water and Sanitation District,Jefferson
GreenMtnFalls,"Green Mountain Falls, Town of",El Paso
GreenMtnFalls,"Green Mountain Falls, Town of",Teller
HollyHlsWSD,Holly Hills Water and Sanitation District,Arapahoe
HollyHlsWSD,Holly Hills Water and Sanitation District,Denver
InvernessWSD,Inverness Water and Sanitation District,Arapahoe
InvernessWSD,Inverness Water and Sanitation District,Douglas
JohnstownWST,Johnstown Water-Sewer Trash,Larimer
JohnstownWST,Johnstown Water-Sewer Trash,Weld
LakehurstWSD,Lakehurst Water and Sanitation District,Denver
LakehurstWSD,Lakehurst Water and Sanitation District,Jefferson
LHWD,Left Hand Water District,Boulder
LHWD,Left Hand Water District,Broomfield
LHWD,Left Hand Water District,Weld
LTWD,Little Thompson Water District,Boulder
LTWD,Little Thompson Water District,Larimer
LTWD,Little Thompson Water District,Weld
Littleton,"Littleton, City of",Arapahoe
Littleton,"Littleton, City of",Douglas
Littleton,"Littleton, City of",Jefferson
Lochbuie,"Lochbuie, Town of",Adams
Lochbuie,"Lochbuie, Town of",Weld
LochmoorWSD,Lochmoor Water and Sanitation District,Denver
LochmoorWSD,Lochmoor Water and Sanitation District,Jefferson
Longmont,"Longmont, City of",Boulder
Longmont,"Longmont, City of",Weld
LongsPeakWD,Longs Peak Water District,Boulder
LongsPeakWD,Longs Peak Water District,Weld
